time,phase_733_queue,phase_733_fps,phase_8_queue,phase_8_fps,phase_92_queue,phase_92_fps,phase_92_health
0.0,7,1.26,2,6.74,0.1,6.74,0.134
1.0000000000000007,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
2.0009999999998906,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
3.0009999999997805,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
4.000999999999671,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
5.000000000000004,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
6.000000000000338,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
7.000000000000672,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
8.000000000001005,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
9.000000000000451,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
10.000999999999896,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
11.000999999999342,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
12.000999999998788,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
13.000999999998234,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
14.00099999999768,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
15.000999999997125,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
16.000999999996573,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
17.000999999997795,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
18.000999999999017,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
19.000000000000238,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
20.00000000000146,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
21.000000000002682,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
22.000000000003904,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
23.000000000005127,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
24.00000000000635,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
25.00000000000757,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
26.000000000008793,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
27.000000000010015,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
28.000000000011237,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
29.00000000001246,7,1.26,2,6.74,0.1,6.74,0.13399999999999998
